E_COORD;N_COORD;AS18_4
2621300;1169800;4
2621300;1170300;4
2621300;1170500;4
2621300;1170600;4
2621300;1170900;4
2621300;1171300;4
2621300;1171800;4
2621300;1172300;4
2621300;1172400;4
2621300;1172500;4
2621400;1152900;2
2621400;1153100;4
2621400;1153800;4
2621400;1153900;4
2621400;1154200;4
2621400;1155200;4
2621400;1155600;4
2621400;1155900;4
2621400;1156000;4
2621400;1156200;3
2621400;1156400;4
2621400;1157500;3
2621400;1158400;3
2621400;1158900;3
2621400;1159400;2
2621400;1159900;3
2621400;1160500;3
2621400;1162300;3
2621500;1150100;3
2621500;1150600;4
2621500;1150900;4
2621500;1151300;4
2621500;1151400;4
2621500;1151500;4
2621500;1151700;4
2621500;1151800;4
2621500;1152500;4
2621500;1152600;4
2621500;1152700;2
2621500;1152800;2
2621100;1171100;4
2621100;1171400;4
2621100;1172900;4
2621100;1173500;2
2621100;1173800;2
2621100;1174000;1
2621100;1174300;1
2621100;1174800;2
2621100;1175400;1
2621100;1175800;3
2621100;1176100;1
2621100;1177600;3
2621100;1178300;3
2621100;1178800;2
2621100;1179100;3
2621100;1179200;2
2621100;1179500;2
2621100;1180000;2
2621200;1162000;2
2621200;1162200;3
2621200;1163200;2
2621200;1163700;2
2621200;1164500;2
2621200;1164600;2
2621200;1164700;2
2621200;1164800;2
2621200;1164900;2
2621200;1165300;2
2621200;1165600;3
2621200;1165800;3
2625600;1161600;4
2625600;1161900;2
2625600;1162600;1
2625600;1162700;2
2625600;1163900;3
2625600;1164600;3
2625600;1164800;2
2625600;1165000;3
2625600;1165300;3
2625600;1166800;3
2625600;1166900;1
2625600;1167800;4
2625600;1168100;4
2625600;1169500;4
2625600;1171200;2
2625600;1171300;2
2625600;1171400;2
2625600;1171500;2
2625600;1171800;3
2625600;1171900;3
2625600;1172000;3
2625600;1172100;3
2625600;1174000;3
2625600;1174100;3
2625600;1174300;2
2625600;1174600;3
2621200;1165900;3
2621200;1166100;2
2621200;1166700;1
2621200;1166900;2
2621200;1167600;2
2621200;1168200;2
2621200;1168500;1
2621200;1169600;4
2621200;1169700;4
2621200;1170700;4
2621200;1171000;4
2621200;1171100;4
2621200;1171400;4
2621200;1171500;4
2621200;1171700;4
2621200;1171800;4
2621300;1151900;4
2621300;1153200;4
2621300;1153600;4
2621300;1154200;4
2621300;1154400;4
2621300;1154500;4
2621300;1154600;4
2621300;1154700;4
2621300;1154900;4
2621300;1155300;4
2621300;1155800;4
2621300;1156100;4
2621300;1156900;2
2621300;1157400;2
2621300;1157500;4
2621300;1157700;3
2621300;1158000;3
2621300;1159600;3
2621300;1159700;3
2621300;1159900;4
2621300;1160200;2
2621300;1160500;2
2625700;1151600;4
2625700;1153600;2
2625700;1153900;2
2625700;1154200;3
2625700;1154700;2
2625700;1154900;2
2625700;1155500;4
2625700;1156400;4
2625700;1157300;3
2625700;1157800;3
2625700;1158400;3
2625700;1158600;4
2625700;1159400;2
2625700;1159700;2
2625700;1159900;2
2625700;1160000;4
2625700;1160100;2
2625700;1160300;4
2625700;1160400;2
2625700;1160600;4
2625700;1161500;4
2625700;1161900;2
2625600;1174700;2
2625600;1175100;4
2625600;1175800;4
2625600;1176100;4
2625600;1176400;4
2625600;1176700;3
2625600;1176800;3
2625600;1177100;3
2625600;1177200;3
2625600;1177300;2
2625600;1177600;3
2625600;1178000;2
2625600;1178400;2
2625600;1178700;1
2625600;1178900;2
2625700;1162000;2
2625700;1162600;2
2625700;1163400;3
2625700;1164100;3
2625700;1164300;3
2625700;1164600;2
2625700;1164800;2
2625700;1165100;3
2625700;1165200;2
2625700;1165600;2
2625700;1165700;3
2621300;1160900;2
2621300;1162300;3
2621400;1150500;4
2621400;1150700;4
2621400;1150800;2
2621400;1151100;4
2621400;1151300;4
2621400;1151700;4
2625800;1150100;4
2625700;1165900;3
2625700;1166100;3
2625700;1166500;2
2625700;1167100;1
2625700;1167300;4
2625700;1167600;4
2625700;1168100;4
2625700;1168200;4
2625700;1168700;4
2625700;1168900;4
2625700;1169500;4
2625700;1170000;4
2625700;1170300;3
2625700;1170700;3
2625700;1171400;2
2625700;1171600;3
2625700;1171800;3
2625700;1171900;3
2625700;1172100;3
2625700;1172400;2
2625700;1172500;2
2625800;1151800;4
2625800;1152100;4
2625800;1152400;2
2625800;1152800;2
2625800;1152900;2
2625800;1153000;2
2625800;1153100;2
2625800;1153200;2
2625800;1154200;4
2625800;1154500;1
2625800;1154600;2
2625800;1155300;3
2625800;1155600;2
2625800;1155700;4
2625800;1156200;4
2625800;1156800;2
2625800;1156900;2
2625800;1157100;3
2625800;1157600;2
2625800;1157700;4
2625800;1158400;4
2625800;1159200;4
2625800;1159600;4
2625800;1159900;4
2625800;1160000;2
2625800;1160500;4
2625800;1160600;4
2625800;1160800;4
2625800;1161000;4
2625800;1161200;2
2625800;1161400;4
2625800;1161900;4
2625800;1162000;2
2625900;1150300;4
2625900;1150400;4
2625900;1151000;4
2625900;1151100;4
2625900;1151200;4
2625900;1151300;4
2625900;1151500;4
2624600;1174400;3
2624600;1174900;3
2624600;1175300;2
2624600;1176200;3
2624600;1176400;3
2624600;1176700;2
2624600;1176900;3
2624600;1177300;2
2624600;1177400;3
2624600;1178000;3
2624600;1179100;3
2624700;1165100;3
2624700;1165400;3
2624700;1165600;3
2624700;1165900;2
2624700;1166400;3
2624700;1166800;3
2624700;1167200;4
2624700;1167500;4
2624700;1167900;4
2624700;1168300;4
2624700;1168800;4
2624700;1169300;4
2624700;1170500;3
2624700;1172100;3
2624700;1172300;3
2624700;1172400;3
2624700;1173100;3
2624700;1173400;3
2624700;1173600;1
2624700;1173900;3
2624700;1174100;3
2624800;1155500;2
2624800;1156000;2
2624800;1156100;2
2624800;1156200;2
2624800;1156500;3
2624800;1157400;2
2624800;1157500;3
2624800;1157700;3
2624800;1158100;4
2624800;1158200;3
2624800;1158400;3
2624800;1159200;2
2624800;1159300;3
2624800;1159600;2
2624800;1159700;2
2624800;1160300;4
2624800;1161100;2
2624800;1161600;4
2624800;1162000;4
2624800;1162600;2
2624800;1162700;2
2624800;1163200;3
2624800;1163300;2
2624800;1163500;2
2624800;1163800;3
2624800;1164300;3
2624800;1164400;2
2624800;1164500;3
2624800;1164600;3
2624800;1165100;3
2624800;1165300;3
2624800;1165700;2
2624500;1173500;3
2624500;1173700;2
2624500;1174000;3
2624500;1174100;3
2624500;1174400;3
2624500;1174500;3
2624500;1174600;3
2624500;1174900;3
2624500;1175300;3
2624500;1175600;3
2624500;1176800;3
2624500;1177100;3
2624500;1177300;2
2624500;1178000;2
2624500;1178900;2
2624500;1179100;3
2624500;1179400;3
2624500;1179600;2
2624500;1179700;2
2624500;1180000;3
2622800;1178400;3
2622800;1178600;2
2624900;1150400;4
2624900;1150500;4
2624900;1151300;4
2624900;1151900;4
2624900;1152300;2
2624900;1152400;2
2624900;1152900;2
2624900;1153400;2
2624900;1153600;2
2624900;1154100;2
2624900;1154700;3
2624900;1154800;2
2624900;1155200;3
2624900;1156100;3
2624900;1156200;2
2623400;1176300;2
2623400;1176700;2
2623400;1177100;3
2623400;1177500;3
2623400;1177600;3
2623400;1178000;3
2623400;1178800;3
2623400;1179800;2
2623400;1180000;2
2623500;1160900;3
2623500;1161000;2
2623500;1161100;2
2623500;1161800;4
2623500;1162300;2
2623500;1162700;2
2623500;1163000;3
2623500;1163300;3
2623500;1163600;2
2623500;1163800;2
2623500;1165100;3
2623500;1165500;3
2623500;1165900;3
2623500;1166100;3
2623500;1166700;3
2623500;1166800;1
2623500;1167800;4
2623500;1167900;4
2623500;1168100;4
2623500;1168300;4
2623500;1168400;4
2623500;1169100;4
2623500;1169200;4
2623500;1169600;4
2623500;1170100;4
2623500;1170500;4
2623600;1171900;3
2623600;1172100;3
2623700;1152900;4
2623700;1153100;2
2623700;1153400;2
2623700;1153600;2
2623700;1153800;2
2623700;1154300;2
2623700;1154400;2
2623700;1154700;2
2623700;1155300;3
2623700;1155400;3
2623700;1155900;4
2623700;1156400;2
